plate_number,plate_image,evidence_image,timestamp
DLGCW6601,plates/DLGCW6601.png,evidence/DLGCW6601.png,2026-08-06_17-22-03
UNKNOWN_24,plates/UNKNOWN_24.png,evidence/UNKNOWN_24.png,2026-08-06_17-22-03
DLGCW66015,plates/DLGCW66015.png,evidence/DLGCW66015.png,2026-08-06_17-22-04
UNKNOWN_25,plates/UNKNOWN_25.png,evidence/UNKNOWN_25.png,2026-08-06_17-22-04
UNKNOWN_26,plates/UNKNOWN_26.png,evidence/UNKNOWN_26.png,2026-08-06_17-22-05
DL9GW6601,plates/DL9GW6601.png,evidence/DL9GW6601.png,2026-08-06_17-22-06
UNKNOWN_27,plates/UNKNOWN_27.png,evidence/UNKNOWN_27.png,2026-08-06_17-22-08
UNKNOWN_28,plates/UNKNOWN_28.png,evidence/UNKNOWN_28.png,2026-08-06_17-22-09
UNKNOWN_29,plates/UNKNOWN_29.png,evidence/UNKNOWN_29.png,2026-08-06_17-22-09
UNKNOWN_30,plates/UNKNOWN_30.png,evidence/UNKNOWN_30.png,2026-08-06_17-22-10
L9CW6601,plates/L9CW6601.png,evidence/L9CW6601.png,2026-08-06_17-22-10
UNKNOWN_31,plates/UNKNOWN_31.png,evidence/UNKNOWN_31.png,2026-08-06_17-22-10
JCW6601,plates/JCW6601.png,evidence/JCW6601.png,2026-08-06_17-22-10
UNKNOWN_32,plates/UNKNOWN_32.png,evidence/UNKNOWN_32.png,2026-08-06_17-22-10
W6601,plates/W6601.png,evidence/W6601.png,2026-08-06_17-22-11
6601,plates/6601.png,evidence/6601.png,2026-08-06_17-22-11
UNKNOWN_33,plates/UNKNOWN_33.png,evidence/UNKNOWN_33.png,2026-08-06_17-22-11
UNKNOWN_34,plates/UNKNOWN_34.png,evidence/UNKNOWN_34.png,2026-08-06_17-22-12
UNKNOWN_35,plates/UNKNOWN_35.png,evidence/UNKNOWN_35.png,2026-08-06_17-22-12
UNKNOWN_36,plates/UNKNOWN_36.png,evidence/UNKNOWN_36.png,2026-08-06_17-22-12
UNKNOWN_37,plates/UNKNOWN_37.png,evidence/UNKNOWN_37.png,2026-08-06_17-22-12
UNKNOWN_38,plates/UNKNOWN_38.png,evidence/UNKNOWN_38.png,2026-08-06_17-22-12
UNKNOWN_39,plates/UNKNOWN_39.png,evidence/UNKNOWN_39.png,2026-08-06_17-22-14
UNKNOWN_40,plates/UNKNOWN_40.png,evidence/UNKNOWN_40.png,2026-08-06_17-22-15
UNKNOWN_41,plates/UNKNOWN_41.png,evidence/UNKNOWN_41.png,2026-08-06_17-22-15
UNKNOWN_42,plates/UNKNOWN_42.png,evidence/UNKNOWN_42.png,2026-08-06_17-22-16
UNKNOWN_43,plates/UNKNOWN_43.png,evidence/UNKNOWN_43.png,2026-08-06_17-22-16
UNKNOWN_44,plates/UNKNOWN_44.png,evidence/UNKNOWN_44.png,2026-08-06_17-22-16
UNKNOWN_45,plates/UNKNOWN_45.png,evidence/UNKNOWN_45.png,2026-08-06_17-22-20
UNKNOWN_46,plates/UNKNOWN_46.png,evidence/UNKNOWN_46.png,2026-08-06_17-22-21
UNKNOWN_47,plates/UNKNOWN_47.png,evidence/UNKNOWN_47.png,2026-08-06_17-22-21
UNKNOWN_48,plates/UNKNOWN_48.png,evidence/UNKNOWN_48.png,2026-08-06_17-22-22
UNKNOWN_49,plates/UNKNOWN_49.png,evidence/UNKNOWN_49.png,2026-08-06_17-22-22
UNKNOWN_50,plates/UNKNOWN_50.png,evidence/UNKNOWN_50.png,2026-08-06_17-22-22
UNKNOWN_51,plates/UNKNOWN_51.png,evidence/UNKNOWN_51.png,2026-08-06_17-22-23
UNKNOWN_52,plates/UNKNOWN_52.png,evidence/UNKNOWN_52.png,2026-08-06_17-22-23
UNKNOWN_53,plates/UNKNOWN_53.png,evidence/UNKNOWN_53.png,2026-08-06_17-22-23
UNKNOWN_54,plates/UNKNOWN_54.png,evidence/UNKNOWN_54.png,2026-08-06_17-22-24
UNKNOWN_55,plates/UNKNOWN_55.png,evidence/UNKNOWN_55.png,2026-08-06_17-22-24
UNKNOWN_56,plates/UNKNOWN_56.png,evidence/UNKNOWN_56.png,2026-08-06_17-22-24
UNKNOWN_57,plates/UNKNOWN_57.png,evidence/UNKNOWN_57.png,2026-08-06_17-22-25
UNKNOWN_58,plates/UNKNOWN_58.png,evidence/UNKNOWN_58.png,2026-08-06_17-22-25
UNKNOWN_59,plates/UNKNOWN_59.png,evidence/UNKNOWN_59.png,2026-08-06_17-22-25
UNKNOWN_60,plates/UNKNOWN_60.png,evidence/UNKNOWN_60.png,2026-08-06_17-22-25
UNKNOWN_61,plates/UNKNOWN_61.png,evidence/UNKNOWN_61.png,2026-08-06_17-22-26
UNKNOWN_62,plates/UNKNOWN_62.png,evidence/UNKNOWN_62.png,2026-08-06_17-22-26
Kdaa,plates/Kdaa.png,evidence/Kdaa.png,2026-08-06_17-22-26
RESV47q,plates/RESV47q.png,evidence/RESV47q.png,2026-08-06_17-22-26
HresN47e9,plates/HresN47e9.png,evidence/HresN47e9.png,2026-08-06_17-22-26
LaEided,plates/LaEided.png,evidence/LaEided.png,2026-08-06_17-22-26
HREv4799,plates/HREv4799.png,evidence/HREv4799.png,2026-08-06_17-22-27
HRSIV49,plates/HRSIV49.png,evidence/HRSIV49.png,2026-08-06_17-22-27
MREIv4rg,plates/MREIv4rg.png,evidence/MREIv4rg.png,2026-08-06_17-22-27
MEsv479,plates/MEsv479.png,evidence/MEsv479.png,2026-08-06_17-22-27
Ev4g,plates/Ev4g.png,evidence/Ev4g.png,2026-08-06_17-22-27
UNKNOWN_63,plates/UNKNOWN_63.png,evidence/UNKNOWN_63.png,2026-08-06_17-22-27
UNKNOWN_64,plates/UNKNOWN_64.png,evidence/UNKNOWN_64.png,2026-08-06_17-22-28
UNKNOWN_65,plates/UNKNOWN_65.png,evidence/UNKNOWN_65.png,2026-08-06_17-22-37
UNKNOWN_66,plates/UNKNOWN_66.png,evidence/UNKNOWN_66.png,2026-08-06_17-22-38
UNKNOWN_67,plates/UNKNOWN_67.png,evidence/UNKNOWN_67.png,2026-08-06_17-22-38
UNKNOWN_68,plates/UNKNOWN_68.png,evidence/UNKNOWN_68.png,2026-08-06_17-22-39
UNKNOWN_69,plates/UNKNOWN_69.png,evidence/UNKNOWN_69.png,2026-08-06_17-22-40
UNKNOWN_70,plates/UNKNOWN_70.png,evidence/UNKNOWN_70.png,2026-08-06_17-22-42
UNKNOWN_71,plates/UNKNOWN_71.png,evidence/UNKNOWN_71.png,2026-08-06_17-22-42
UNKNOWN_72,plates/UNKNOWN_72.png,evidence/UNKNOWN_72.png,2026-08-06_17-22-42
UNKNOWN_73,plates/UNKNOWN_73.png,evidence/UNKNOWN_73.png,2026-08-06_17-22-42
UNKNOWN_74,plates/UNKNOWN_74.png,evidence/UNKNOWN_74.png,2026-08-06_17-22-42
UNKNOWN_75,plates/UNKNOWN_75.png,evidence/UNKNOWN_75.png,2026-08-06_17-22-43
UNKNOWN_76,plates/UNKNOWN_76.png,evidence/UNKNOWN_76.png,2026-08-06_17-22-43
UNKNOWN_77,plates/UNKNOWN_77.png,evidence/UNKNOWN_77.png,2026-08-06_17-22-43
UNKNOWN_78,plates/UNKNOWN_78.png,evidence/UNKNOWN_78.png,2026-08-06_17-22-43
UNKNOWN_79,plates/UNKNOWN_79.png,evidence/UNKNOWN_79.png,2026-08-06_17-22-43
UNKNOWN_80,plates/UNKNOWN_80.png,evidence/UNKNOWN_80.png,2026-08-06_17-22-43
UNKNOWN_81,plates/UNKNOWN_81.png,evidence/UNKNOWN_81.png,2026-08-06_17-22-44
UNKNOWN_82,plates/UNKNOWN_82.png,evidence/UNKNOWN_82.png,2026-08-06_17-22-44
UNKNOWN_83,plates/UNKNOWN_83.png,evidence/UNKNOWN_83.png,2026-08-06_17-22-44
UNKNOWN_84,plates/UNKNOWN_84.png,evidence/UNKNOWN_84.png,2026-08-06_17-22-44
UNKNOWN_85,plates/UNKNOWN_85.png,evidence/UNKNOWN_85.png,2026-08-06_17-22-44
UNKNOWN_86,plates/UNKNOWN_86.png,evidence/UNKNOWN_86.png,2026-08-06_17-22-45
UNKNOWN_87,plates/UNKNOWN_87.png,evidence/UNKNOWN_87.png,2026-08-06_17-22-45
36J6,plates/36J6.png,evidence/36J6.png,2026-08-06_17-22-45
UNKNOWN_88,plates/UNKNOWN_88.png,evidence/UNKNOWN_88.png,2026-08-06_17-22-45
UNKNOWN_89,plates/UNKNOWN_89.png,evidence/UNKNOWN_89.png,2026-08-06_17-22-45
CLZSAD2330,plates/CLZSAD2330.png,evidence/CLZSAD2330.png,2026-08-06_17-22-46
DLZSAD2330,plates/DLZSAD2330.png,evidence/DLZSAD2330.png,2026-08-06_17-22-46
LLZSAD2330,plates/LLZSAD2330.png,evidence/LLZSAD2330.png,2026-08-06_17-22-47
CLZS2330,plates/CLZS2330.png,evidence/CLZS2330.png,2026-08-06_17-22-47
75350,plates/75350.png,evidence/75350.png,2026-08-06_17-22-48
